table,distribution,heterogeneity,test,log_time_shift,paper_value,paper_printed_value,paper_n_sim,paper_page
table1,exponential,medium,logrank,0,1.007,1.007,100000,93
table1,exponential,medium,peto_prentice,0,1.005,1.005,100000,93
table1,exponential,medium,gehan_breslow,0,1.004,1.004,100000,93
table1,weibull,medium,logrank,0,1.015,1.015,100000,93
table1,weibull,medium,peto_prentice,0,1.007,1.007,100000,93
table1,weibull,medium,gehan_breslow,0,1.003,1.003,100000,93
table1,lognormal,medium,logrank,0,1.009,1.009,100000,93
table1,lognormal,medium,peto_prentice,0,1.006,1.006,100000,93
table1,lognormal,medium,gehan_breslow,0,1.003,1.003,100000,93
table1,loglogistic,medium,logrank,0,1.009,1.009,100000,93
table1,loglogistic,medium,peto_prentice,0,0.997,0.997,100000,93
table1,loglogistic,medium,gehan_breslow,0,0.998,0.998,100000,93
table2,exponential,low,logrank,0,0.027,27,100000,94
table2,exponential,low,peto_prentice,0,0.026,26,100000,94
table2,exponential,low,gehan_breslow,0,0.026,26,100000,94
table2,weibull,low,logrank,0,0.029,29,100000,94
table2,weibull,low,peto_prentice,0,0.026,26,100000,94
table2,weibull,low,gehan_breslow,0,0.025,25,100000,94
table2,lognormal,low,logrank,0,0.027,27,100000,94
table2,lognormal,low,peto_prentice,0,0.025,25,100000,94
table2,lognormal,low,gehan_breslow,0,0.026,26,100000,94
table2,loglogistic,low,logrank,0,0.026,26,100000,94
table2,loglogistic,low,peto_prentice,0,0.026,26,100000,94
table2,loglogistic,low,gehan_breslow,0,0.025,25,100000,94
table2,exponential,medium,logrank,0,0.026,26,100000,94
table2,exponential,medium,peto_prentice,0,0.025,25,100000,94
table2,exponential,medium,gehan_breslow,0,0.026,26,100000,94
table2,weibull,medium,logrank,0,0.027,27,100000,94
table2,weibull,medium,peto_prentice,0,0.026,26,100000,94
table2,weibull,medium,gehan_breslow,0,0.025,25,100000,94
table2,lognormal,medium,logrank,0,0.025,25,100000,94
table2,lognormal,medium,peto_prentice,0,0.025,25,100000,94
table2,lognormal,medium,gehan_breslow,0,0.025,25,100000,94
table2,loglogistic,medium,logrank,0,0.026,26,100000,94
table2,loglogistic,medium,peto_prentice,0,0.025,25,100000,94
table2,loglogistic,medium,gehan_breslow,0,0.025,25,100000,94
table2,exponential,high,logrank,0,0.026,26,100000,94
table2,exponential,high,peto_prentice,0,0.026,26,100000,94
table2,exponential,high,gehan_breslow,0,0.025,25,100000,94
table2,weibull,high,logrank,0,0.025,25,100000,94
table2,weibull,high,peto_prentice,0,0.025,25,100000,94
table2,weibull,high,gehan_breslow,0,0.024,24,100000,94
table2,lognormal,high,logrank,0,0.026,26,100000,94
table2,lognormal,high,peto_prentice,0,0.026,26,100000,94
table2,lognormal,high,gehan_breslow,0,0.025,25,100000,94
table2,loglogistic,high,logrank,0,0.025,25,100000,94
table2,loglogistic,high,peto_prentice,0,0.025,25,100000,94
table2,loglogistic,high,gehan_breslow,0,0.024,24,100000,94
table3,exponential,low,logrank,0.25,0.212,0.212,10000,95
table3,exponential,low,peto_prentice,0.25,0.207,0.207,10000,95
table3,exponential,low,gehan_breslow,0.25,0.181,0.181,10000,95
table3,exponential,low,logrank,0.5,0.601,0.601,10000,95
table3,exponential,low,peto_prentice,0.5,0.595,0.595,10000,95
table3,exponential,low,gehan_breslow,0.5,0.532,0.532,10000,95
table3,weibull,low,logrank,0.25,0.46,0.46,10000,95
table3,weibull,low,peto_prentice,0.25,0.454,0.454,10000,95
table3,weibull,low,gehan_breslow,0.25,0.391,0.391,10000,95
table3,weibull,low,logrank,0.5,0.948,0.948,10000,95
table3,weibull,low,peto_prentice,0.5,0.948,0.948,10000,95
table3,weibull,low,gehan_breslow,0.5,0.91,0.91,10000,95
table3,lognormal,low,logrank,0.25,0.62,0.62,10000,95
table3,lognormal,low,peto_prentice,0.25,0.645,0.645,10000,95
table3,lognormal,low,gehan_breslow,0.25,0.664,0.664,10000,95
table3,lognormal,low,logrank,0.5,0.989,0.989,10000,95
table3,lognormal,low,peto_prentice,0.5,0.992,0.992,10000,95
table3,lognormal,low,gehan_breslow,0.5,0.995,0.995,10000,95
table3,loglogistic,low,logrank,0.25,0.325,0.325,10000,95
table3,loglogistic,low,peto_prentice,0.25,0.334,0.334,10000,95
table3,loglogistic,low,gehan_breslow,0.25,0.334,0.334,10000,95
table3,loglogistic,low,logrank,0.5,0.828,0.828,10000,95
table3,loglogistic,low,peto_prentice,0.5,0.846,0.846,10000,95
table3,loglogistic,low,gehan_breslow,0.5,0.852,0.852,10000,95
table3,exponential,medium,logrank,0.25,0.18,0.18,10000,95
table3,exponential,medium,peto_prentice,0.25,0.18,0.18,10000,95
table3,exponential,medium,gehan_breslow,0.25,0.164,0.164,10000,95
table3,exponential,medium,logrank,0.5,0.519,0.519,10000,95
table3,exponential,medium,peto_prentice,0.5,0.521,0.521,10000,95
table3,exponential,medium,gehan_breslow,0.5,0.482,0.482,10000,95
table3,weibull,medium,logrank,0.25,0.294,0.294,10000,95
table3,weibull,medium,peto_prentice,0.25,0.287,0.287,10000,95
table3,weibull,medium,gehan_breslow,0.25,0.247,0.247,10000,95
table3,weibull,medium,logrank,0.5,0.786,0.786,10000,95
table3,weibull,medium,peto_prentice,0.5,0.781,0.781,10000,95
table3,weibull,medium,gehan_breslow,0.5,0.718,0.718,10000,95
table3,lognormal,medium,logrank,0.25,0.361,0.361,10000,95
table3,lognormal,medium,peto_prentice,0.25,0.36,0.36,10000,95
table3,lognormal,medium,gehan_breslow,0.25,0.33,0.33,10000,95
table3,lognormal,medium,logrank,0.5,0.869,0.869,10000,95
table3,lognormal,medium,peto_prentice,0.5,0.872,0.872,10000,95
table3,lognormal,medium,gehan_breslow,0.5,0.834,0.834,10000,95
table3,loglogistic,medium,logrank,0.25,0.242,0.242,10000,95
table3,loglogistic,medium,peto_prentice,0.25,0.247,0.247,10000,95
table3,loglogistic,medium,gehan_breslow,0.25,0.23,0.23,10000,95
table3,loglogistic,medium,logrank,0.5,0.695,0.695,10000,95
table3,loglogistic,medium,peto_prentice,0.5,0.711,0.711,10000,95
table3,loglogistic,medium,gehan_breslow,0.5,0.688,0.688,10000,95
table3,exponential,high,logrank,0.25,0.169,0.169,10000,95
table3,exponential,high,peto_prentice,0.25,0.165,0.165,10000,95
table3,exponential,high,gehan_breslow,0.25,0.149,0.149,10000,95
table3,exponential,high,logrank,0.5,0.478,0.478,10000,95
table3,exponential,high,peto_prentice,0.5,0.471,0.471,10000,95
table3,exponential,high,gehan_breslow,0.5,0.422,0.422,10000,95
table3,weibull,high,logrank,0.25,0.255,0.255,10000,95
table3,weibull,high,peto_prentice,0.25,0.242,0.242,10000,95
table3,weibull,high,gehan_breslow,0.25,0.193,0.193,10000,95
table3,weibull,high,logrank,0.5,0.71,0.71,10000,95
table3,weibull,high,peto_prentice,0.5,0.683,0.683,10000,95
table3,weibull,high,gehan_breslow,0.5,0.574,0.574,10000,95
table3,lognormal,high,logrank,0.25,0.31,0.31,10000,95
table3,lognormal,high,peto_prentice,0.25,0.293,0.293,10000,95
table3,lognormal,high,gehan_breslow,0.25,0.251,0.251,10000,95
table3,lognormal,high,logrank,0.5,0.8,0.8,10000,95
table3,lognormal,high,peto_prentice,0.5,0.781,0.781,10000,95
table3,lognormal,high,gehan_breslow,0.5,0.703,0.703,10000,95
table3,loglogistic,high,logrank,0.25,0.21,0.21,10000,95
table3,loglogistic,high,peto_prentice,0.25,0.212,0.212,10000,95
table3,loglogistic,high,gehan_breslow,0.25,0.191,0.191,10000,95
table3,loglogistic,high,logrank,0.5,0.614,0.614,10000,95
table3,loglogistic,high,peto_prentice,0.5,0.617,0.617,10000,95
table3,loglogistic,high,gehan_breslow,0.5,0.569,0.569,10000,95
